Season,Round,Date,Time,H_Team,A_Team,H_Score,A_Score,Href
Season 2022/23,ROUND 1,30/09/2022,18:00,Zadar,SC Derby,96,67,https://www.aba-liga.com/match/6/22/1/Overview/q1/1/home/zadar-sc-derby/
Season 2022/23,ROUND 1,01/10/2022,16:00,Igokea m:tel,Mornar-Barsko zlato,83,91,https://www.aba-liga.com/match/5/22/1/Overview/q1/1/home/igokea-m-tel-mornar-barsko-zlato/
Season 2022/23,ROUND 1,01/10/2022,20:00,Crvena zvezda mts,MZT Skopje Aerodrom,87,67,https://www.aba-liga.com/match/1/22/1/Overview/q1/1/home/crvena-zvezda-mts-mzt-skopje-aerodrom/
Season 2022/23,ROUND 1,02/10/2022,17:00,Cibona,Partizan Mozzart Bet,81,105,https://www.aba-liga.com/match/7/22/1/Overview/q1/1/home/cibona-partizan-mozzart-bet/
Season 2022/23,ROUND 1,02/10/2022,19:00,Budućnost VOLI,Split,94,59,https://www.aba-liga.com/match/2/22/1/Overview/q1/1/home/buducnost-voli-split/
Season 2022/23,ROUND 1,02/10/2022,21:00,Cedevita Olimpija,Borac Mozzart,98,81,https://www.aba-liga.com/match/3/22/1/Overview/q1/1/home/cedevita-olimpija-borac-mozzart/
Season 2022/23,ROUND 1,03/10/2022,18:00,FMP Meridian,Mega MIS,90,76,https://www.aba-liga.com/match/4/22/1/Overview/q1/1/home/fmp-meridian-mega-mis/
Season 2022/23,ROUND 2,07/10/2022,17:00,Split,Cedevita Olimpija,77,95,https://www.aba-liga.com/match/13/22/1/Overview/q1/1/home/split-cedevita-olimpija/
Season 2022/23,ROUND 2,08/10/2022,19:00,Borac Mozzart,FMP Meridian,84,85,https://www.aba-liga.com/match/12/22/1/Overview/q1/1/home/borac-mozzart-fmp-meridian/
Season 2022/23,ROUND 2,09/10/2022,12:00,Mega MIS,Igokea m:tel,76,87,https://www.aba-liga.com/match/11/22/1/Overview/q1/1/home/mega-mis-igokea-m-tel/
Season 2022/23,ROUND 2,09/10/2022,17:00,SC Derby,Cibona,97,84,https://www.aba-liga.com/match/9/22/1/Overview/q1/1/home/sc-derby-cibona/
Season 2022/23,ROUND 2,09/10/2022,19:00,Mornar-Barsko zlato,Zadar,100,91,https://www.aba-liga.com/match/10/22/1/Overview/q1/1/home/mornar-barsko-zlato-zadar/
Season 2022/23,ROUND 2,10/10/2022,16:00,MZT Skopje Aerodrom,Partizan Mozzart Bet,74,92,https://www.aba-liga.com/match/8/22/1/Overview/q1/1/home/mzt-skopje-aerodrom-partizan-mozzart-bet/
Season 2022/23,ROUND 2,10/10/2022,18:00,Crvena zvezda mts,Budućnost VOLI,69,65,https://www.aba-liga.com/match/14/22/1/Overview/q1/1/home/crvena-zvezda-mts-buducnost-voli/
Season 2022/23,ROUND 3,14/10/2022,18:00,Igokea m:tel,Borac Mozzart,90,78,https://www.aba-liga.com/match/18/22/1/Overview/q1/1/home/igokea-m-tel-borac-mozzart/
Season 2022/23,ROUND 3,14/10/2022,20:00,Cibona,Mornar-Barsko zlato,91,88,https://www.aba-liga.com/match/20/22/1/Overview/q1/1/home/cibona-mornar-barsko-zlato/
Season 2022/23,ROUND 3,15/10/2022,19:00,Budućnost VOLI,MZT Skopje Aerodrom,89,66,https://www.aba-liga.com/match/15/22/1/Overview/q1/1/home/buducnost-voli-mzt-skopje-aerodrom/
Season 2022/23,ROUND 3,16/10/2022,21:00,Partizan Mozzart Bet,SC Derby,91,82,https://www.aba-liga.com/match/21/22/1/Overview/q1/1/home/partizan-mozzart-bet-sc-derby/
Season 2022/23,ROUND 3,17/10/2022,18:00,Zadar,Mega MIS,96,90,https://www.aba-liga.com/match/19/22/1/Overview/q1/1/home/zadar-mega-mis/
Season 2022/23,ROUND 3,17/10/2022,21:00,FMP Meridian,Split,90,73,https://www.aba-liga.com/match/17/22/1/Overview/q1/1/home/fmp-meridian-split/
Season 2022/23,ROUND 4,22/10/2022,18:15,Budućnost VOLI,Cedevita Olimpija,80,74,https://www.aba-liga.com/match/28/22/1/Overview/q1/1/home/buducnost-voli-cedevita-olimpija/
Season 2022/23,ROUND 4,22/10/2022,20:30,MZT Skopje Aerodrom,SC Derby,92,79,https://www.aba-liga.com/match/22/22/1/Overview/q1/1/home/mzt-skopje-aerodrom-sc-derby/
Season 2022/23,ROUND 4,23/10/2022,12:00,Mega MIS,Cibona,93,100,https://www.aba-liga.com/match/24/22/1/Overview/q1/1/home/mega-mis-cibona/
Season 2022/23,ROUND 4,23/10/2022,17:00,Split,Igokea m:tel,68,77,https://www.aba-liga.com/match/26/22/1/Overview/q1/1/home/split-igokea-m-tel/
Season 2022/23,ROUND 4,23/10/2022,21:00,Borac Mozzart,Zadar,91,93,https://www.aba-liga.com/match/25/22/1/Overview/q1/1/home/borac-mozzart-zadar/
Season 2022/23,ROUND 4,24/10/2022,18:00,Crvena zvezda mts,FMP Meridian,83,77,https://www.aba-liga.com/match/27/22/1/Overview/q1/1/home/crvena-zvezda-mts-fmp-meridian/
Season 2022/23,ROUND 4,24/10/2022,21:00,Mornar-Barsko zlato,Partizan Mozzart Bet,62,83,https://www.aba-liga.com/match/23/22/1/Overview/q1/1/home/mornar-barsko-zlato-partizan-mozzart-bet/
Season 2022/23,ROUND 5,28/10/2022,18:00,Cibona,Borac Mozzart,87,85,https://www.aba-liga.com/match/33/22/1/Overview/q1/1/home/cibona-borac-mozzart/
Season 2022/23,ROUND 5,28/10/2022,20:00,Zadar,Split,74,76,https://www.aba-liga.com/match/32/22/1/Overview/q1/1/home/zadar-split/
Season 2022/23,ROUND 5,29/10/2022,18:00,Cedevita Olimpija,MZT Skopje Aerodrom,93,73,https://www.aba-liga.com/match/29/22/1/Overview/q1/1/home/cedevita-olimpija-mzt-skopje-aerodrom/
Season 2022/23,ROUND 5,29/10/2022,20:00,FMP Meridian,Budućnost VOLI,96,91,https://www.aba-liga.com/match/30/22/1/Overview/q1/1/home/fmp-meridian-buducnost-voli/
Season 2022/23,ROUND 5,30/10/2022,19:00,Mornar-Barsko zlato,SC Derby,75,86,https://www.aba-liga.com/match/35/22/1/Overview/q1/1/home/mornar-barsko-zlato-sc-derby/
Season 2022/23,ROUND 5,30/10/2022,21:00,Partizan Mozzart Bet,Mega MIS,86,76,https://www.aba-liga.com/match/34/22/1/Overview/q1/1/home/partizan-mozzart-bet-mega-mis/
Season 2022/23,ROUND 5,31/10/2022,18:00,Igokea m:tel,Crvena zvezda mts,70,76,https://www.aba-liga.com/match/31/22/1/Overview/q1/1/home/igokea-m-tel-crvena-zvezda-mts/
Season 2022/23,ROUND 6,04/11/2022,18:00,MZT Skopje Aerodrom,Mornar-Barsko zlato,77,94,https://www.aba-liga.com/match/36/22/1/Overview/q1/1/home/mzt-skopje-aerodrom-mornar-barsko-zlato/
Season 2022/23,ROUND 6,04/11/2022,20:00,Split,Cibona,82,74,https://www.aba-liga.com/match/39/22/1/Overview/q1/1/home/split-cibona/
Season 2022/23,ROUND 6,05/11/2022,19:00,Igokea m:tel,Budućnost VOLI,103,101,https://www.aba-liga.com/match/41/22/1/Overview/q1/1/home/igokea-m-tel-buducnost-voli/
Season 2022/23,ROUND 6,06/11/2022,12:00,Mega MIS,SC Derby,101,74,https://www.aba-liga.com/match/37/22/1/Overview/q1/1/home/mega-mis-sc-derby/
Season 2022/23,ROUND 6,06/11/2022,17:00,Borac Mozzart,Partizan Mozzart Bet,62,81,https://www.aba-liga.com/match/38/22/1/Overview/q1/1/home/borac-mozzart-partizan-mozzart-bet/
Season 2022/23,ROUND 6,06/11/2022,19:00,Cedevita Olimpija,FMP Meridian,85,90,https://www.aba-liga.com/match/42/22/1/Overview/q1/1/home/cedevita-olimpija-fmp-meridian/
Season 2022/23,ROUND 6,07/11/2022,18:00,Crvena zvezda mts,Zadar,96,98,https://www.aba-liga.com/match/40/22/1/Overview/q1/1/home/crvena-zvezda-mts-zadar/
